A000001,AS000001,1,2,true
A000002,AS000001,2,3,true
A000003,AS000001,3,2,false
A000004,AS000001,4,1,true
A000005,AS000002,1,1,true
A000006,AS000002,2,3,true
A000007,AS000002,3,4,true
A000008,AS000002,4,1,true
A000009,AS000002,5,2,true
A000010,AS000002,6,4,true
A000011,AS000002,7,4,true
A000012,AS000002,8,2,true
A000013,AS000002,9,3,true
A000014,AS000002,10,1,true
A000015,AS000002,11,1,false
A000016,AS000002,12,1,true
A000017,AS000002,13,1,false
A000018,AS000002,14,1,false
A000019,AS000002,15,1,false
A000020,AS000002,16,1,true
A000021,AS000002,17,1,true
A000022,AS000002,18,1,true
A000023,AS000002,19,1,true
A000024,AS000002,20,1,true
A000025,AS000002,21,1,true
A000026,AS000002,22,1,false
A000027,AS000002,23,2,false
A000028,AS000002,24,1,false
A000029,AS000003,1,2,true
A000030,AS000003,2,2,true
A000031,AS000003,3,1,true
A000032,AS000003,4,4,true
A000033,AS000003,5,4,true
A000034,AS000003,6,1,true
A000035,AS000003,7,,false
A000036,AS000003,8,,false
A000037,AS000003,9,,false
A000038,AS000003,10,,false
A000039,AS000003,11,,false
A000040,AS000003,12,,false
A000041,AS000003,13,,false
A000042,AS000003,14,,false
A000043,AS000003,15,,false
A000044,AS000003,16,,false
A000045,AS000003,17,,false
A000046,AS000003,18,,false
A000047,AS000003,19,,false
A000048,AS000003,20,,false
A000049,AS000003,21,,false
A000050,AS000003,22,,false
A000051,AS000003,23,,false
A000052,AS000003,24,,false
